Time_Stamp,Value
2019-06-19 08:00:22,50.95998
2019-06-19 08:00:26,50.45998
2019-06-19 08:01:19,49.74998
2019-06-19 08:01:52,48.75999
2019-06-19 08:02:44,47.94998
2019-06-19 08:03:06,47.22998
2019-06-19 08:04:04,47.22998
2019-06-19 08:04:27,47.38999
2019-06-19 08:05:25,47.38999
2019-06-19 08:06:17,48.10999
2019-06-19 08:07:15,48.10999
2019-06-19 08:07:26,48.73999
2019-06-19 08:07:53,49.26998
2019-06-19 08:08:25,48.98999
2019-06-19 08:09:00,49.22998
2019-06-19 08:09:59,49.22998
2019-06-19 08:10:02,48.68999
2019-06-19 08:11:00,48.68999
2019-06-19 08:11:18,49.63998
2019-06-19 08:11:52,50.33998
2019-06-19 08:12:14,50.92999
2019-06-19 08:12:49,51.48999
2019-06-19 08:13:12,52.19999
2019-06-19 08:13:53,52.71999
2019-06-19 08:14:21,53.25999
2019-06-19 08:14:46,53.92999
2019-06-19 08:15:40,54.80998
2019-06-19 08:16:12,54.54999
2019-06-19 08:16:29,55.38998
2019-06-19 08:17:27,55.38998
2019-06-19 08:17:40,55.99998
2019-06-19 08:18:03,55.85999
2019-06-19 08:18:33,55.41998
2019-06-19 08:19:31,55.41998
2019-06-19 08:19:49,55.30999
2019-06-19 08:20:22,54.89999
2019-06-19 08:21:21,54.42999
2019-06-19 08:22:19,54.42999
2019-06-19 08:22:31,53.99999
2019-06-19 08:23:29,53.99999
2019-06-19 08:23:50,54.03999
2019-06-19 08:24:48,54.03999
2019-06-19 08:25:02,53.95999
2019-06-19 08:25:49,53.75999
2019-06-19 08:27:48,53.75999
2019-06-19 08:28:33,53.18999
2019-06-19 08:29:09,53.59998
2019-06-19 08:29:43,53.17999
2019-06-19 08:32:41,53.17999
2019-06-19 08:33:19,52.68999
2019-06-19 08:34:17,52.68999
2019-06-19 08:34:21,52.86999
2019-06-19 08:35:20,52.86999
2019-06-19 08:36:06,52.99998
2019-06-19 08:36:43,53.30999
2019-06-19 08:37:40,53.30999
2019-06-19 08:37:47,53.74998
2019-06-19 08:39:45,53.74998
2019-06-19 08:40:05,54.29998
2019-06-19 08:41:02,54.29998
2019-06-19 08:41:12,53.72998
2019-06-19 08:41:40,54.03999
2019-06-19 08:42:38,54.03999
2019-06-19 08:43:37,54.17999
2019-06-19 08:46:35,54.17999
2019-06-19 08:46:46,54.30998
2019-06-19 08:47:40,54.15999
2019-06-19 08:48:38,54.15999
2019-06-19 08:49:04,54.31998
2019-06-19 08:50:02,54.31998
2019-06-19 08:50:29,54.63999
2019-06-19 08:51:09,54.06998
2019-06-19 08:51:35,54.68999
2019-06-19 08:52:02,54.16998
2019-06-19 08:53:00,54.16998
2019-06-19 08:53:11,54.37998
2019-06-19 08:54:09,54.37998
2019-06-19 08:54:39,54.10999
2019-06-19 08:55:34,54.48
2019-06-19 08:56:01,53.97999
2019-06-19 08:56:25,54.45999
2019-06-19 08:56:52,54.08999
2019-06-19 08:57:49,54.08999
2019-06-19 08:58:22,54.54999
2019-06-19 08:58:56,54.22998
2019-06-19 09:05:54,54.22998
2019-06-19 09:06:05,54.42999
2019-06-19 09:07:03,54.42999
2019-06-19 09:07:37,54.80998
2019-06-19 09:08:24,54.69999
2019-06-19 09:09:22,54.69999
2019-06-19 09:09:55,54.42
2019-06-19 09:10:53,54.42
2019-06-19 09:11:52,54.55999
2019-06-19 09:12:51,54.55999
2019-06-19 09:13:06,54.32998
2019-06-19 09:13:37,54.64999
2019-06-19 09:14:35,54.64999
2019-06-19 09:15:33,54.88998
2019-06-19 09:15:51,54.45
2019-06-19 09:17:48,54.45
2019-06-19 09:18:12,54.13998
2019-06-19 09:19:10,54.13998
2019-06-19 09:19:47,53.72998
2019-06-19 09:22:45,53.72998
2019-06-19 09:23:02,53.59998
2019-06-19 09:25:59,53.59998
2019-06-19 09:26:46,53.88999
2019-06-19 09:28:45,53.88999
2019-06-19 09:28:56,54.30998
2019-06-19 09:29:55,54.30998
