Time_Stamp,Value
2019-06-19 08:00:24,31.24999
2019-06-19 08:01:09,30.08
2019-06-19 08:01:30,30.5
2019-06-19 08:01:53,29.65999
2019-06-19 08:02:21,28.96
2019-06-19 08:02:54,28.09999
2019-06-19 08:03:34,28.76999
2019-06-19 08:04:04,28.41999
2019-06-19 08:05:00,29.14
2019-06-19 08:05:18,28.35999
2019-06-19 08:05:52,29.23
2019-06-19 08:06:15,28.73999
2019-06-19 08:06:41,29.15
2019-06-19 08:07:02,29.79
2019-06-19 08:07:28,30.57999
2019-06-19 08:08:26,30.57999
2019-06-19 08:08:32,30.80999
2019-06-19 08:09:29,30.80999
2019-06-19 08:09:41,30.26999
2019-06-19 08:10:36,29.72999
2019-06-19 08:11:00,30.53999
2019-06-19 08:11:19,30.91999
2019-06-19 08:11:38,31.31999
2019-06-19 08:12:04,31.92999
2019-06-19 08:12:33,32.20999
2019-06-19 08:12:53,32.68999
2019-06-19 08:13:52,32.68999
2019-06-19 08:13:57,33.56999
2019-06-19 08:14:41,33.92
2019-06-19 08:15:05,34.31999
2019-06-19 08:15:52,35.10999
2019-06-19 08:16:50,35.10999
2019-06-19 08:17:21,35.49998
2019-06-19 08:17:49,36.01999
2019-06-19 08:19:47,36.01999
2019-06-19 08:20:06,35.62
2019-06-19 08:20:43,35.13999
2019-06-19 08:21:41,35.13999
2019-06-19 08:22:03,35.30999
2019-06-19 08:27:02,35.30999
2019-06-19 08:27:08,35.43999
2019-06-19 08:28:08,35.21999
2019-06-19 08:28:44,34.74999
2019-06-19 08:29:41,34.74999
2019-06-19 08:30:09,34.50999
2019-06-19 08:30:58,34.00999
2019-06-19 08:34:56,34.00999
2019-06-19 08:35:56,34.27
2019-06-19 08:36:54,34.70999
2019-06-19 08:37:52,34.70999
2019-06-19 08:38:30,34.21999
2019-06-19 08:39:03,34.93999
2019-06-19 08:39:45,34.76999
2019-06-19 08:41:42,34.76999
2019-06-19 08:42:12,34.24
2019-06-19 08:42:30,34.98
2019-06-19 08:42:52,34.66
2019-06-19 08:43:51,34.66
2019-06-19 08:44:05,34.13999
2019-06-19 08:44:21,34.41999
2019-06-19 08:45:03,34.89999
2019-06-19 08:45:26,34.35999
2019-06-19 08:45:55,34.46999
2019-06-19 08:48:53,34.46999
2019-06-19 08:48:58,34.66
2019-06-19 08:49:56,34.66
2019-06-19 08:50:41,35.23
2019-06-19 08:51:07,34.62
2019-06-19 08:51:53,35.08999
2019-06-19 08:52:13,34.82999
2019-06-19 08:54:11,34.82999
2019-06-19 08:54:21,34.39999
2019-06-19 08:55:08,34.95
2019-06-19 08:55:29,34.35999
2019-06-19 08:56:15,34.57999
2019-06-19 08:57:12,34.57999
2019-06-19 08:57:29,34.15999
2019-06-19 08:57:51,34.68999
2019-06-19 08:58:49,34.68999
2019-06-19 08:58:58,34.63
2019-06-19 08:59:55,34.63
2019-06-19 09:00:11,34.02
2019-06-19 09:00:32,34.68999
2019-06-19 09:02:30,34.68999
2019-06-19 09:03:30,35.3
2019-06-19 09:03:46,34.42999
2019-06-19 09:04:28,34.86999
2019-06-19 09:05:16,34.63999
2019-06-19 09:06:14,34.63999
2019-06-19 09:06:35,34.77999
2019-06-19 09:07:34,34.77999
2019-06-19 09:07:50,35.23
2019-06-19 09:08:12,34.64999
2019-06-19 09:08:40,34.95
2019-06-19 09:09:38,34.95
2019-06-19 09:10:18,34.98
2019-06-19 09:11:16,34.98
2019-06-19 09:11:44,35.18999
2019-06-19 09:16:41,35.18999
2019-06-19 09:17:10,35.04999
2019-06-19 09:18:07,35.04999
2019-06-19 09:18:23,34.81999
2019-06-19 09:19:21,34.81999
2019-06-19 09:19:42,34.95999
2019-06-19 09:20:07,34.56
2019-06-19 09:21:05,34.56
2019-06-19 09:21:12,34.18999
2019-06-19 09:22:10,33.6
2019-06-19 09:22:33,33.88999
2019-06-19 09:23:01,33.57999
2019-06-19 09:23:44,33.86999
2019-06-19 09:26:42,33.86999
2019-06-19 09:27:37,34.30999
2019-06-19 09:28:25,33.55999
2019-06-19 09:28:46,34.22999
2019-06-19 09:29:44,34.22999
2019-06-19 09:29:51,33.76999
2019-06-19 09:30:19,34.25999
2019-06-19 09:32:17,34.25999
2019-06-19 09:32:50,33.83999
2019-06-19 09:33:17,34.49999
2019-06-19 09:33:44,34.15999
2019-06-19 09:34:42,34.15999
2019-06-19 09:35:19,36.05999
2019-06-19 09:35:25,34.03999
2019-06-19 09:35:51,35.56999
2019-06-19 09:36:11,33.90999
2019-06-19 09:36:33,34.93999
2019-06-19 09:36:42,35.88
2019-06-19 09:36:53,34.28999
2019-06-19 09:37:24,34.73999
2019-06-19 09:37:44,33.96999
2019-06-19 09:38:08,35.13999
2019-06-19 09:38:17,33.93999
2019-06-19 09:38:34,34.21999
2019-06-19 09:39:23,34.67999
2019-06-19 09:40:09,34.03999
2019-06-19 09:40:37,34.66
2019-06-19 09:41:08,34.03999
2019-06-19 09:42:06,34.03999
2019-06-19 09:42:15,34.48999
2019-06-19 09:42:53,34.02
2019-06-19 09:43:32,34.44999
2019-06-19 09:44:24,34.07999
2019-06-19 09:45:11,34.37
2019-06-19 09:46:09,34.37
2019-06-19 09:46:16,34.99999
2019-06-19 09:46:43,34.48999
2019-06-19 09:47:41,34.48999
2019-06-19 09:48:21,34.16999
2019-06-19 09:48:49,34.31999
2019-06-19 09:51:46,34.31999
2019-06-19 09:51:51,33.51999
2019-06-19 09:52:48,33.51999
2019-06-19 09:53:47,33.07999
2019-06-19 09:54:15,33.58999
2019-06-19 09:54:49,32.86999
2019-06-19 09:55:47,32.86999
2019-06-19 09:56:38,33.47999
2019-06-19 09:57:36,33.47999
2019-06-19 09:57:52,33.92
2019-06-19 09:58:13,33.69999
2019-06-19 09:59:10,33.69999
2019-06-19 09:59:37,33.96999
2019-06-19 10:00:32,33.66
2019-06-19 10:01:00,33.43999
2019-06-19 10:01:58,33.43999
2019-06-19 10:02:33,33.96999
2019-06-19 10:03:32,33.96999
2019-06-19 10:03:36,34.22999
2019-06-19 10:04:16,33.52999
2019-06-19 10:04:50,33.38999
2019-06-19 10:05:40,32.70999
2019-06-19 10:06:11,31.82999
2019-06-19 10:07:10,31.82999
2019-06-19 10:07:41,32.42999
2019-06-19 10:08:08,32.99999
2019-06-19 10:08:32,32.13999
2019-06-19 10:09:29,32.13999
2019-06-19 10:09:49,31.54999
2019-06-19 10:10:11,30.82
2019-06-19 10:10:37,30.34999
2019-06-19 10:11:07,30.93999
2019-06-19 10:12:04,30.16
2019-06-19 10:12:35,29.8
2019-06-19 10:14:34,29.8
2019-06-19 10:14:54,30.32999
2019-06-19 10:15:40,30.02999
2019-06-19 10:16:31,29.37999
2019-06-19 10:17:08,29.13
2019-06-19 10:17:25,28.75999
2019-06-19 10:18:03,28.40999
2019-06-19 10:18:50,27.76999
2019-06-19 10:19:31,27.17999
2019-06-19 10:20:14,26.59
2019-06-19 10:20:54,26.02999
2019-06-19 10:21:12,25.26999
2019-06-19 10:21:25,24.19999
2019-06-19 10:21:50,24.46
2019-06-19 10:22:06,23.78999
2019-06-19 10:22:29,23.23999
2019-06-19 10:22:54,22.09
2019-06-19 10:23:53,21.25999
2019-06-19 10:24:13,19.93999
2019-06-19 10:24:49,19.05
2019-06-19 10:25:42,18.4
2019-06-19 10:25:59,17.68
2019-06-19 10:26:21,16.89
2019-06-19 10:26:59,18.27
2019-06-19 10:27:57,18.27
2019-06-19 10:28:15,17.25999
2019-06-19 10:28:29,18.02
2019-06-19 10:28:57,17.21999
2019-06-19 10:29:46,18.34
2019-06-19 10:30:45,18.77
2019-06-19 10:31:05,17.87999
2019-06-19 10:32:05,17.48
2019-06-19 10:32:40,16.84999
2019-06-19 10:33:02,15.56
2019-06-19 10:33:24,16.06
2019-06-19 10:33:47,16.86
2019-06-19 10:34:46,16.86
2019-06-19 10:34:50,17.42999
2019-06-19 10:35:48,17.42999
2019-06-19 10:36:01,16.83
2019-06-19 10:36:59,16.83
2019-06-19 10:37:20,17.23999
2019-06-19 10:38:19,17.23999
2019-06-19 10:38:28,17.94
2019-06-19 10:38:40,17.28
2019-06-19 10:38:53,17.89999
2019-06-19 10:39:13,19.05
2019-06-19 10:39:45,18.1
2019-06-19 10:39:52,19.48
2019-06-19 10:40:23,18.50999
2019-06-19 10:41:21,18.50999
2019-06-19 10:42:06,19.43
2019-06-19 10:42:25,20.14999
2019-06-19 10:42:49,20.97999
2019-06-19 10:43:22,21.91999
2019-06-19 10:43:56,22.73
2019-06-19 10:44:43,22.48
2019-06-19 10:45:40,22.48
2019-06-19 10:45:56,21.65999
2019-06-19 10:46:09,22.48
2019-06-19 10:46:30,21.73999
2019-06-19 10:46:58,20.5
2019-06-19 10:47:05,22.08
2019-06-19 10:47:29,21.8
