Refno Claim,Claim Registration Date,Repair Date,Repairing Dealer,State,Job Number,Vehicle Marketing Type,Product Id,Causal Part Number,Causal Part Name,Function Group 4 Digits,Fgrp 4 Digits Description,Chassis Number,Vehicle Registration Number,Vehicle Mileage On Claim (km),Number OfRepairs,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment,Company,Delivery Importer,Credit Date,Debit Code,Credit Period,Model_,Year
4803064,,5/06/2015,396485,VIC,1,FES7 62R,,21451262,"CAMSHAFT, TCD 2013 L06 4V",2154,,611738,,101473,,3502.08,12393.77,4485.45,20381.3,20381.3,,,42236,9,42217,FES7,2015
7982998,,22/07/2015,70287,WA,1,FES7 62R,,21333678,OIL PAN,2171,,618804,,208081,,228.69,923.2,15.62,1167.51,1167.51,,,42243,9,42217,FES7,2015
130014,,13/08/2015,92767,WA,1,FES7 62R,,21567736,"SENSOR, NOX 600 MM",2846,,642919,,150855,,244,687.91,0,931.91,931.91,,,42236,9,42217,FES7,2015
402948,,14/08/2015,601570,TA,1,FES7 62R,,21984358,"SENSOR, NOX 600 MM, POST-SCR",2846,,650016,,131297,,327.01,686.87,0,1013.88,1013.88,,,42243,9,42217,FES7,2015
414521,,9/02/2015,542457,WA,1,FH13 64T,,20486222,CRANKSHAFT,2161,,134360,,681965,,7897.5,24860.21,0,32757.71,32757.71,,,42215,9,42186,FH13,2015
8705,,18/07/2015,85993,QLD,1,FH13 64T,,22431881,"CAMSHAFT AND BEARING KIT, BEARING SHELLS INCLUDED",2154,,134751,,497881,,693.45,9829.16,0,10522.61,10522.61,,,42236,9,42217,FH13,2015
130055,,11/08/2015,92767,WA,3,FH13 64T,,20992763,"AIR HOSE, CLUTCH HOUSING",4312,,134760,,542534,,12.2,85.37,0,97.57,97.57,,,42243,9,42217,FH13,2015
130055,,11/08/2015,92767,WA,2,FH13 64T,,21710522,"SOLENOID VALVE, CLUTCH OPERATION",4312,,134760,,542534,,73.2,637.77,0,710.97,710.97,,,42243,9,42217,FH13,2015
7981755,,16/07/2015,488428,QLD,1,FH13 64T,,21110437,"CAMSHAFT, VEB6",2154,,134790,,527730,,582.4,3279.47,0,3861.87,3861.87,,,42215,9,42186,FH13,2015
415354,,15/05/2015,542457,WA,1,FH13 64T,,21351717,"INJECTOR SLEEVE, SPARE PART KIT",2119,,134794,,668857,,1057.05,3771.5,0,4828.55,4828.55,,,42215,9,42186,FH13,2015
7981030,,1/07/2015,93351,QLD,2,FH13 64T,,20910779,"EXHAUST MANIFOLD, FRONT AND REAR",2515,,135031,,635990,,247.36,237.03,330,814.39,814.39,,,42215,9,42186,FH13,2015
129803,,29/07/2015,92767,WA,1,FH13 64T,,21351717,"INJECTOR SLEEVE, SPARE PART KIT",2119,,135122,,650004,,1329.8,331.73,0,1661.53,1661.53,,,42222,9,42217,FH13,2015
129327,,5/06/2015,92767,WA,1,FH13 64T,,20768519,"EXHAUST VALVE, MULTI GROOVE",2142,,135179,,682845,,3159.8,6920.96,2737.41,12818.17,12818.17,,,42229,9,42217,FH13,2015
129491,,29/06/2015,92767,WA,1,FH13 64T,,21567736,"SENSOR, NOX 600 MM",2846,,135179,,696590,,231.8,686.87,0,918.67,918.67,,,42222,9,42217,FH13,2015
7982614,,10/04/2015,70287,WA,1,FH13 64T,,20768519,"EXHAUST VALVE, MULTI GROOVE",2142,,135186,,596114,,1187.01,6111.98,0,7298.99,7298.99,,,42243,9,42217,FH13,2015
7980401,,22/06/2015,766085,NSW,1,FH13 64T,,20768519,"EXHAUST VALVE, MULTI GROOVE",2142,,135193,,651900,,2217.06,8162.16,0,10379.22,10379.22,,,42236,9,42217,FH13,2015
7981704,,25/07/2015,766085,NSW,2,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,135196,,648637,,50.85,178.41,0,229.26,229.26,,,42215,9,42186,FH13,2015
1202066,,4/08/2015,691188,SA,1,FH13 64T,,85139619,PRESSURE SENSOR,2846,,135236,,746904,,73.2,224.37,0,297.57,297.57,,,42222,9,42217,FH13,2015
415947,,22/07/2015,542457,WA,1,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,135320,,232329,,60.75,178.41,0,239.16,239.16,,,42215,9,42186,FH13,2015
2003739,,14/07/2015,880625,VIC,2,FH13 64T,,21746206,"PRESSURE SENSOR, CRANKCASE",2846,,135365,,200308,,170.1,178.41,0,348.51,348.51,,,42229,9,42217,FH13,2015
2003739,,14/07/2015,880625,VIC,1,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,135365,,200308,,218.7,178.41,0,397.11,397.11,,,42229,9,42217,FH13,2015
2003591,,16/07/2015,880625,VIC,1,FH13 64T,,21818731,"EXHAUST BRAKE, CLOSED LOOP",2531,,135387,,594130,,170.1,1621.45,0,1791.55,1791.55,,,42215,9,42186,FH13,2015
7982652,,24/07/2015,93351,QLD,1,FH13 64T,,21540602,"PRESSURE SENSOR, EXHAUST PRESSURE",2846,,135427,,552719,,215.11,224.37,0,439.48,439.48,,,42236,9,42217,FH13,2015
416059,,6/08/2015,542457,WA,1,FH13 64T,,21448461,LIP SEAL,4658,,135460,,564184,,170.1,187.51,0,357.61,357.61,,,42236,9,42217,FH13,2015
416059,,6/08/2015,542457,WA,2,FH13 64T,,20801083,"COMPANION FLANGE, ASSY, OUTPUT SHAFT",4659,,135460,,564184,,170.1,524.75,0,694.85,694.85,,,42236,9,42217,FH13,2015
1201718,,8/04/2015,691188,SA,1,FH13 64T,,20910779,"EXHAUST MANIFOLD, FRONT AND REAR",2515,,135516,,127850,,0,0,336.17,336.17,336.17,,,42215,9,42186,FH13,2015
7982006,,23/07/2015,92197,SA,3,FH13 64T,,21707054,"AIR VALVE, EPG /  WASTEGATE- GEN 3",2539,,135520,,562795,,64.53,519.97,0,584.5,584.5,,,42222,9,42217,FH13,2015
7982006,,23/07/2015,92197,SA,2,FH13 64T,,21371392,"PIPE SET, WG TURBO",2539,,135520,,562795,,408.68,273.38,0,682.06,682.06,,,42222,9,42217,FH13,2015
7982006,,23/07/2015,92197,SA,4,FH13 64T,,21412472,"TEMPERATURE SENSOR, DARTS PIGTAIL, A CODED",2846,,135520,,562795,,43.02,178.41,0,221.43,221.43,,,42222,9,42217,FH13,2015
129679,,14/07/2015,92767,WA,2,FH13 64T,,21323151,"ACTUATOR SERVICE KIT, FOR SPARE PART USE",2539,,135525,,550490,,109.8,447.3,0,557.1,557.1,,,42215,9,42186,FH13,2015
129679,,14/07/2015,92767,WA,3,FH13 64T,,21710522,"SOLENOID VALVE, CLUTCH OPERATION",4312,,135525,,550490,,73.2,637.77,0,710.97,710.97,,,42215,9,42186,FH13,2015
