Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
70287.0,,631.62,4717.27,0.0,5348.89,5348.89
70287.0,,174.24,168.99,0.0,343.23,343.23
70287.0,,163.35,1449.22,0.0,1612.57,1612.57
70287.0,,0.0,192.4,0.0,192.4,192.4
70287.0,,65.34,192.4,0.0,257.74,257.74
93385.0,,182.25,178.41,0.0,360.66,360.66
880625.0,,72.9,207.04,0.0,279.94,279.94
880625.0,,72.9,295.8,0.0,368.7,368.7
880625.0,,182.25,203.24,0.0,385.49,385.49
85993.0,,0.0,0.0,130.34,130.34,130.34
542457.0,,72.9,262.44,0.0,335.34,335.34
488428.0,,62.4,192.4,0.0,254.8,254.8
766085.0,,1840.77,6506.69,0.0,8347.46,8347.46
488428.0,,104.0,447.3,0.0,551.3,551.3
488428.0,,62.4,192.4,0.0,254.8,254.8
92197.0,,129.06,199.71,0.0,328.77,328.77
70287.0,,0.0,454.84,262.5,717.34,717.34
766085.0,,233.91,114.89,163.64,512.44,512.44
766085.0,,233.91,114.89,163.64,512.44,512.44
92197.0,,215.11,178.41,0.0,393.52,393.52
880625.0,,0.0,0.0,360.0,360.0,360.0
92767.0,,0.0,199.12,256.35,455.47,455.47
600828.0,,0.0,447.3,0.0,447.3,447.3
601571.0,,163.51,447.3,0.0,610.81,610.81
601571.0,,0.0,93.92,0.0,93.92,93.92
70287.0,,163.35,206.41,0.0,369.76,369.76
601571.0,,204.39,184.72,0.0,389.11,389.11
766085.0,,61.02,142.1,0.0,203.12,203.12
691188.0,,939.4,207.82,0.0,1147.22,1147.22
691188.0,,36.6,14.2,0.0,50.8,50.8
691188.0,,61.0,90.8,0.0,151.8,151.8
691188.0,,61.0,93.92,0.0,154.92,154.92
691188.0,,73.2,112.94,0.0,186.14,186.14
92197.0,,86.04,178.41,0.0,264.45,264.45
762478.0,,63.99,262.44,0.0,326.43,326.43
93351.0,,0.0,169.31,497.36,666.67,666.67
70287.0,,1894.86,9719.21,472.0,12086.07,12086.07
70287.0,,32.67,169.51,0.0,202.18,202.18
70287.0,,98.01,224.37,0.0,322.38,322.38
70287.0,,-98.01,-224.37,0.0,-322.38,-322.38
70287.0,,98.01,224.37,0.0,322.38,322.38
788051.0,,227.7,165.27,0.0,392.97,392.97
788051.0,,227.7,206.65,375.0,809.35,809.35
788051.0,,138.6,1555.41,0.0,1694.01,1694.01
788051.0,,178.2,1817.43,0.0,1995.63,1995.63
92197.0,,258.12,1063.86,0.0,1321.98,1321.98
630205.0,,306.9,322.17,227.27,856.34,856.34
631891.0,,2008.8,8633.12,0.0,10641.92,10641.92
631891.0,,37.2,857.75,0.0,894.95,894.95
70287.0,,1818.63,7011.1,0.24,8829.97,8829.97
542457.0,,72.9,447.3,0.0,520.2,520.2
542457.0,,60.75,248.55,0.0,309.3,309.3
880625.0,,121.5,224.37,0.0,345.87,345.87
92197.0,,182.84,0.0,0.0,182.84,182.84
92197.0,,161.33,178.41,0.0,339.74,339.74
70287.0,,1328.58,5919.14,0.0,7247.72,7247.72
70287.0,,141.57,447.3,0.0,588.87,588.87
70287.0,,228.69,64.72,0.0,293.41,293.41
